,StudentID,AttendenceRate,StudyTime,FinalExamScore,Result (P/F)
,1,62,75,78,1
,2,76,54,65,1
,3,45,35,43,0
,4,34,76,67,0
,5,67,55,78,1
,6,88,43,67,1
,7,23,98,89,0
,8,45,76,65,1
,9,34,54,43,0
,10,98,78,76,1
,11,66,56,65,1
,12,89,78,87,1
,13,90,76,93,1
,14,56,37,76,1
,15,64,56,65,1
,16,21,34,82,0
,17,45,47,65,0
,18,75,62,85,0
,19,69,23,75,0
,20,48,56,65,1
,21,58,62,74,1
,22,76,63,87,1
,23,87,77,77,0
,24,25,88,96,0
,25,85,55,85,0
,26,66,87,88,1
,27,33,97,78,1
,28,65,54,69,1
,29,44,87,67,1
,30,45,67,77,1