STUDENTID,ATTENDENCERATE,STUDYTIME,FINALEXAMSCORE,RESULT
S1,88,6.6,61,1
S2,78,3.2,35,0
S3,90,3.7,34,0
S4,50,3.3,35,0
S5,40,3.4,33,0
S6,82,7.1,72,1
S7,88,6.1,64,1
S8,50,3.2,35,0
S9,92,7.2,71,1
S10,67,6.1,62,1
S11,30,3.4,32,0
S12,35,3.1,30,0
S13,74,7.1,74,1
S14,15,3.4,35,0
S15,87,6.2,61,1
S16,54,3.2,35,0
S17,76,6.2,64,1
S18,54,3.2,35,0
S19,84,7.1,76,1
S20,57,3.1,30,0
S21,85,6.1,61,1
S22,58,3.2,31,0
S23,79,6.3,62,1
S24,54,3.2,33,0
S25,86,6.2,65,1
S26,49,3.3,36,0
S27,83,6.1,67,1
S28,44,3.5,35,0
S29,99,6.3,61,1
S30,49,3.3,30,0